births_known,county,fips,low_birth_weight,late_or_no_prenatal,prenatal_known,tobacco_known,tobacco_yes,age_15_19,age_35_plus,age_known,low_birth_weight_pct,late_or_no_prenatal_pct,tobacco_use_pct,maternal_age_15_19_pct,maternal_age_35_plus_pct,fips_st_cnty,st_name_abbrev,ahrf_county,rural_urban_continuum_code,primary_care_hpsa,population_2024,median_household_income,poverty_pct,uninsured_under65_pct,obgyn_count,midwife_count,obstetric_hospital_count,population_density,obgyn_per_100k,midwives_per_100k,obstetric_hospitals_per_100k,log_population_density,cross_validated_prediction,cross_validated_residual
19431,"Hamilton County, IN",18057,1302,2627,19431,19323,143,222,4796,19441,6.700633009109155,13.519633575214863,0.7400507167624075,1.1419165680777739,24.669512885139653,18057,IN,"Hamilton, IN",1.0,0,379704.0,117957.0,4.3,4.6,72.0,4.0,3.0,881.1,18.962138929271223,1.0534521627372901,0.7900891220529676,6.7823054282647215,6.764111007196498,-0.06347799808734322
9229,"Hendricks County, IN",18063,683,1551,9216,9195,262,186,1741,9220,7.400585112146495,16.829427083333332,2.849374660141381,2.017353579175705,18.88286334056399,18063,IN,"Hendricks, IN",1.0,1,190629.0,99988.0,5.0,5.9,22.0,2.0,2.0,429.6,11.540741440179616,1.0491583127436015,1.0491583127436015,6.065179584930263,7.159491434588122,0.2410936775583732
9493,"Johnson County, IN",18081,724,1628,9496,9461,538,320,1417,9501,7.6266722848414625,17.144060657118786,5.686502483881196,3.3680665193137567,14.914219555836228,18081,IN,"Johnson, IN",1.0,1,170614.0,87227.0,7.2,6.7,10.0,2.0,1.0,504.9,5.861183724665033,1.1722367449330067,0.5861183724665033,6.22633902129789,7.673743544986274,-0.04707126014481133
26172,"Lake County, IN",18089,2390,7710,26085,26134,1004,1157,4594,26172,9.131896683478526,29.557216791259343,3.8417387311548175,4.420755005349228,17.553110194100565,18089,IN,"Lake, IN",1.0,1,502955.0,68985.0,14.6,7.7,37.0,13.0,4.0,999.9,7.356522949369228,2.584724279508107,0.7952997783101867,6.908654874224973,9.616591972767713,-0.4846952892891867
5540,"La Porte County, IN",18091,521,1890,5544,5542,649,293,735,5544,9.4043321299639,34.09090909090909,11.710573800072176,5.284992784992785,13.257575757575758,18091,IN,"La Porte, IN",3.0,1,111348.0,70452.0,14.0,7.9,4.0,1.0,1.0,187.9,3.5923411287135827,0.8980852821783957,0.8980852821783957,5.241217774507464,8.905482918091913,0.4988492118719865
7154,"Madison County, IN",18095,705,1430,7151,7136,881,423,751,7149,9.854626782219738,19.997203188365262,12.34585201793722,5.916911456147713,10.504965729472653,18095,IN,"Madison, IN",1.0,1,134222.0,62632.0,12.9,8.0,5.0,5.0,2.0,288.0,3.7251717304167724,3.7251717304167724,1.490068692166709,5.666426688112432,8.924235106402643,0.9303916758170949
70793,"Marion County, IN",18097,7235,24696,70749,70238,3267,3779,11993,70850,10.219936999420847,34.90650044523598,4.6513283407841906,5.333803810868031,16.9273112208892,18097,IN,"Marion, IN",1.0,1,981628.0,63450.0,15.1,9.8,176.0,54.0,5.0,2463.9,17.92939891690131,5.501065576776538,0.5093579237756054,7.80990651770257,10.15506664874178,0.0648703506790671
5246,"Monroe County, IN",18105,442,936,5253,5245,431,183,988,5242,8.425467022493327,17.818389491719017,8.217349857006672,3.491033956505151,18.84776802747043,18105,IN,"Monroe, IN",3.0,1,140702.0,63372.0,20.2,6.2,17.0,6.0,1.0,354.2,12.082273173089225,4.264331708149138,0.7107219513581897,5.872681011118015,8.819437156934324,-0.3939701344409965
7920,"Porter County, IN",18127,612,1733,7920,7925,329,198,1464,7933,7.7272727272727275,21.88131313131313,4.151419558359621,2.495903189209631,18.454556914156058,18127,IN,"Porter, IN",1.0,1,175860.0,85828.0,9.2,6.9,14.0,5.0,1.0,414.3,7.960877971113386,2.8431707039690663,0.5686341407938132,6.029001150636708,7.552175790492318,0.1750969367804096
15944,"St. Joseph County, IN",18141,1422,4500,15942,15928,816,844,2486,15944,8.918715504264927,28.22732404968009,5.123053741838272,5.293527345709985,15.592072252885098,18141,IN,"St. Joseph, IN",2.0,1,273744.0,64885.0,14.6,8.0,32.0,18.0,2.0,596.2,11.68975393067976,6.575486586007365,0.730609620667485,6.392252065665035,9.605397459510254,-0.6866819552453265
